"Source","Target","Weight"
"김태희","양동근",1
"이선균","정유미",1
"이선균","문성근",1
"정유미","문성근",1
"김수로","한재석",1
"김수로","류승룡",1
"한재석","류승룡",1
"정승길","김지인",1
"정승길","오우정",1
"김지인","오우정",1
"정승길","이상현",1
"김지인","이상현",1
"오우정","이상현",1
"정승길","박혁권",1
"김지인","박혁권",1
"오우정","박혁권",1
"이상현","박혁권",1
"정승길","신규리",1
"김지인","신규리",1
"오우정","신규리",1
"이상현","신규리",1
"박혁권","신규리",1
"김다현","신성록",1
"김다현","황인영",1
"신성록","황인영",1
"김인권","김정태",1
"김인권","신현빈",1
"김정태","신현빈",1
"유순웅","김재록",1
"유순웅","최유진",1
"김재록","최유진",1
"정경호","박인수",1
"정경호","지서윤",1
"박인수","지서윤",1
"김진식","원강영",1
"김진식","이응일",1
"원강영","이응일",1
"임흥세","유지태(내레이션)",1
"수애","유지태",1
"우상전","조용주",1
"우상전","안홍진",1
"조용주","안홍진",1
"이요원","이동욱",1
"이요원","류승룡",1
"이동욱","류승룡",1
"추자현","정찬",1
"추자현","한수연",1
"정찬","한수연",1
"추자현","김흥수",1
"정찬","김흥수",1
"한수연","김흥수",1
"황정민","류승범",1
"황정민","유해진",1
"류승범","유해진",1
"황정민","천호진",1
"류승범","천호진",1
"유해진","천호진",1
"윤계상","요조",1
"윤계상","정유미",1
"요조","정유미",1
"윤계상","윤희석",1
"요조","윤희석",1
"정유미","윤희석",1
"신세경","임슬옹",1
"신세경","이종현",1
"임슬옹","이종현",1
"신세경","강민혁",1
"임슬옹","강민혁",1
"이종현","강민혁",1
"신세경","백진희",1
"임슬옹","백진희",1
"이종현","백진희",1
"강민혁","백진희",1
"이성재","김지훈",1
"이성재","박현진",1
"김지훈","박현진",1
"이성재","김기연",1
"김지훈","김기연",1
"박현진","김기연",1
